"LPprob","n","m","suc","n.binding","Rank0","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10"
"ship08l",4363,778,TRUE,0.976863753213368,0.0430591259640103,0.100899742930591,0.234575835475578,0.234575835475578,0.50706940874036,0.50706940874036,0.50706940874036,0.753856041131105,0.753856041131105,0.899100257069409,0.996143958868895
"ship08s",2467,778,TRUE,0.976863753213368,0.0430591259640103,0.275706940874036,0.275706940874036,0.275706940874036,0.275706940874036,0.50706940874036,0.594473007712082,0.687017994858612,0.784704370179949,0.891388174807198,0.996786632390745
"ship12l",5533,1151,TRUE,0.984361424847958,0.0477845351867941,0.18375325803649,0.18375325803649,0.324500434404865,0.527801911381407,0.527801911381407,0.527801911381407,0.751954821894005,0.751954821894005,0.890964378801043,0.994352736750652
"ship12s",2869,1151,TRUE,0.98262380538662,0.0477845351867941,0.345351867940921,0.345351867940921,0.345351867940921,0.345351867940921,0.345351867940921,0.345351867940921,0.684187662901825,0.778019113814075,0.890964378801043,0.994352736750652
"sierra",2735,1227,TRUE,0.50040749796251,0.0381930184804928,0.0381930184804928,0.33305954825462,0.385215605749487,0.429158110882957,0.751950718685832,0.797946611909651,0.846406570841889,0.892402464065708,0.964681724845996,1
"stair",614,356,TRUE,0.865168539325843,0.00280898876404494,0.0898876404494382,0.178370786516854,0.268258426966292,0.35252808988764,0.448033707865169,0.557303370786517,0.673595505617978,0.760112359550562,0.877247191011236,1
"standata",1274,359,TRUE,0.98050139275766,0.00974930362116992,0.115598885793872,0.288300835654596,0.288300835654596,0.405292479108635,0.502785515320334,0.639275766016713,0.639275766016713,0.831476323119778,0.920612813370474,1
"standgub",1383,361,TRUE,0.980609418282548,0.00554016620498615,0.117728531855956,0.289473684210526,0.289473684210526,0.405817174515235,0.502770083102493,0.638504155124654,0.638504155124654,0.840720221606648,0.918282548476454,1
"standmps",1274,467,TRUE,0.91220556745182,0.00749464668094218,0.088865096359743,0.221627408993576,0.311563169164882,0.491434689507495,0.491434689507495,0.691648822269807,0.691648822269807,0.816916488222698,0.880085653104925,1
"stocfor1",165,117,TRUE,0.675213675213675,0.00854700854700855,0.0726495726495727,0.145299145299145,0.264957264957265,0.264957264957265,0.264957264957265,0.542735042735043,0.756410256410256,0.82051282051282,0.923076923076923,1
"stocfor2",3045,2157,TRUE,0.68567454798331,0.000463606861381548,0.0621233194251275,0.178488641631896,0.178488641631896,0.295549374130737,0.295549374130737,0.618915159944367,0.618915159944367,0.750811312007418,0.846314325452017,1
"tuff",628,333,TRUE,1,0.048048048048048,0.106606606606607,0.196696696696697,0.298798798798799,0.403903903903904,0.483483483483483,0.58858858858859,0.701201201201201,0.800600600600601,0.9003003003003,1
"vtp_base",346,198,TRUE,0.52020202020202,0.00505050505050505,0.108585858585859,0.108585858585859,0.204545454545455,0.316666666666667,0.52020202020202,0.611111111111111,0.825757575757576,0.873737373737374,0.916666666666667,0.994949494949495
"wood1p",2595,244,TRUE,0.979508196721312,0.0266393442622951,0.100409836065574,0.196311475409836,0.275819672131148,0.394262295081967,0.491803278688525,0.589344262295082,0.686885245901639,0.784426229508197,0.881967213114754,1
"woodw",8418,1098,TRUE,0.990892531876138,0.000910746812386157,0.106102003642987,0.199908925318761,0.298816029143898,0.397814207650273,0.497040072859745,0.59608378870674,0.695355191256831,0.793624772313297,0.893214936247723,0.999089253187614
