"LPprob","n","m","spA","spB","spC","suc","n.binding","Rank0","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10"
"pds_02",7716,2953,0.000727265609460957,0.0687436505248899,0.63011923276309,TRUE,0.962411107348459,0.00203183203521842,0.139180494412462,0.20809346427362,0.341517101252963,0.341517101252963,0.51032847951236,0.669827294277006,0.669827294277006,0.81544192346766,0.919742634608872,1
"perold",1506,625,0.00653173970783533,0.344,0.00531208499335989,TRUE,0.7296,0.0072,0.4496,0.4496,0.4496,0.4496,0.4496,0.4496,0.4496,0.4496,0.4496,0.9552
"pilot",4860,1441,0.00633633479265371,0.195697432338654,0.0109053497942387,TRUE,0.879944482997918,0.000693962526023595,0.0967383761276891,0.546842470506593,0.546842470506593,0.546842470506593,0.546842470506593,0.546842470506593,0.546842470506593,0.546842470506593,0.546842470506593,1
"pilot4",1123,410,0.011432791086593,0.402439024390244,0.00356188780053428,TRUE,0.682926829268293,0.00609756097560976,0.418292682926829,0.418292682926829,0.418292682926829,0.418292682926829,0.418292682926829,0.418292682926829,0.418292682926829,0.418292682926829,0.418292682926829,0.873170731707317
"pilotnov",2446,975,0.00558986938381869,0.340512820512821,0.0294358135731807,TRUE,0.696410256410256,0.492307692307692,0.492307692307692,0.492307692307692,0.492307692307692,0.492307692307692,0.492307692307692,0.492307692307692,0.492307692307692,0.492307692307692,0.492307692307692,0.492307692307692
"qap12",8856,3192,0.0013550135501355,0.0075187969924812,0.670731707317073,TRUE,0.897556390977444,0.184565477206761,0.184565477206761,0.184565477206761,0.184565477206761,0.504183028854362,0.707017244323032,0.707017244323032,0.707017244323032,0.887314324739628,1,1
"recipe",204,91,0.0370071105365223,0,0.436274509803922,FALSE,1,0.010989010989011,0.203296703296703,0.203296703296703,0.582417582417582,0.582417582417582,0.582417582417582,0.582417582417582,0.582417582417582,0.582417582417582,0.934065934065934,1
"sc105",163,105,0.0198656149576395,0.19047619047619,0.00613496932515337,TRUE,0.933333333333333,0.0185185185185185,1,1,1,1,1,1,1,1,1,1
"sc205",317,205,0.0102331307224744,0.185365853658537,0.00315457413249211,TRUE,0.965853658536585,0.00961538461538462,1,1,1,1,1,1,1,1,1,1
"sc50a",78,50,0.041025641025641,0.2,0.0128205128205128,TRUE,0.94,0.0377358490566038,1,1,1,1,1,1,1,1,1,1
"sc50b",78,50,0.037948717948718,0.1,0.0128205128205128,TRUE,1,0.0377358490566038,1,1,1,1,1,1,1,1,1,1
"scagr25",671,471,0.00545815258146886,0.380042462845011,0.707898658718331,TRUE,0.70276008492569,0.00217627856365615,0.14145810663765,0.247007616974973,0.43525571273123,0.544069640914037,0.627856365614799,0.681175190424374,0.760609357997824,0.840043525571273,0.893362350380849,1
"scagr7",185,129,0.0194846008799497,0.410852713178295,0.718918918918919,TRUE,0.75968992248062,0.00790513833992095,0.158102766798419,0.308300395256917,0.442687747035573,0.531225296442688,0.644268774703557,0.695652173913043,0.770750988142292,0.845849802371542,0.944664031620553,1
"scfxm1",600,330,0.0137979797979798,0.351515151515152,0.0383333333333333,TRUE,0.809090909090909,0.0121212121212121,0.459090909090909,0.459090909090909,0.459090909090909,0.459090909090909,0.459090909090909,0.459090909090909,0.459090909090909,0.459090909090909,0.919393939393939,1
"scfxm2",1200,660,0.00690530303030303,0.359090909090909,0.0383333333333333,TRUE,0.795454545454545,0.0113722517058378,0.458680818802123,0.458680818802123,0.458680818802123,0.458680818802123,0.458680818802123,0.458680818802123,0.458680818802123,0.458680818802123,0.921152388172858,1
"scfxm3",1800,990,0.00460493827160494,0.361616161616162,0.0383333333333333,TRUE,0.795959595959596,0.0111223458038423,0.458543983822042,0.458543983822042,0.458543983822042,0.458543983822042,0.458543983822042,0.458543983822042,0.458543983822042,0.458543983822042,0.9211324570273,1
"scorpion",466,388,0.00848413787000575,0.195876288659794,0.605150214592275,TRUE,0.963917525773196,0.00261437908496732,0.0975163398692811,0.2,0.299607843137255,0.396078431372549,0.509803921568627,0.658823529411765,0.658823529411765,0.824836601307189,0.917647058823529,1
"scrs8",1275,490,0.00526290516206483,0.157142857142857,0.664313725490196,TRUE,0.959183673469388,0.00204081632653061,0.101836734693878,0.283673469387755,0.283673469387755,0.283673469387755,0.526530612244898,0.598775510204082,0.706734693877551,0.781632653061225,0.856836734693879,1
"scsd1",760,77,0.0408065618591934,0.012987012987013,1,TRUE,1,1,1,1,1,1,1,1,1,1,1,1
"scsd6",1350,147,0.0217485512723608,0.0612244897959184,1,TRUE,1,1,1,1,1,1,1,1,1,1,1,1
"scsd8",2750,397,0.00786260590794596,0.0377833753148615,1,TRUE,1,1,1,1,1,1,1,1,1,1,1,1
"sctap1",660,300,0.00945454545454546,0.513333333333333,0.545454545454545,TRUE,0.82,0.00333889816360601,0.140233722871452,0.217028380634391,0.380634390651085,0.509181969949916,0.719532554257095,0.719532554257095,0.719532554257095,0.719532554257095,0.820534223706177,1
"sctap2",2500,1090,0.00269137614678899,0.477981651376147,0.564,TRUE,0.884403669724771,0.00186480186480186,0.129137529137529,0.287179487179487,0.43030303030303,0.43030303030303,0.757575757575758,0.757575757575758,0.757575757575758,0.757575757575758,0.757575757575758,1
