"LPprob","n","m","spA","spB","spC","suc","n.binding","Rank0","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10"
"maros",1966,846,0.00609474542398072,0.049645390070922,0.199389623601221,FALSE,0.950354609929078,0.00236406619385343,0.0960992907801419,0.191016548463357,0.284869976359338,0.583924349881797,0.583924349881797,0.583924349881797,0.583924349881797,0.583924349881797,0.905082742316785,1
"modszk1",1620,687,0.00284651463690765,0.0203784570596798,0.611111111111111,TRUE,0.754002911208151,1,1,1,1,1,1,1,1,1,1,1
"osa_07",25067,1118,0.00516726086431833,0.96690518783542,0.955399529261579,TRUE,0.325581395348837,0.0322003577817531,0.0989266547406082,0.197853309481216,0.267665474060823,0.384615384615385,0.527728085867621,0.624150268336315,0.7587656529517,0.847495527728086,0.920438282647585,0.997316636851521
"osa_14",54797,2337,0.00247614822386925,0.984167736414206,0.957351679836487,TRUE,0.339751818570817,0.0149764655541292,0.0667522464698331,0.177107402652974,0.295335900727429,0.42148053059478,0.524604193410355,0.650577663671374,0.791827128797604,0.867351305091998,0.932391955498502,0.997432605905006
"pds_02",7716,2953,0.000727265609460957,0.0687436505248899,0.63011923276309,TRUE,0.962411107348459,0.00203527815468114,0.100915875169607,0.194199457259159,0.287483039348711,0.390094979647218,0.483378561736771,0.578527815468114,0.671132971506106,0.804545454545455,0.904850746268657,1
"perold",1506,625,0.00653173970783533,0.344,0.00531208499335989,TRUE,0.7296,0.00724054706355591,0.516492357200322,0.516492357200322,0.516492357200322,0.516492357200322,0.516492357200322,0.516492357200322,0.516492357200322,0.516492357200322,0.516492357200322,0.967015285599356
"pilot",4860,1441,0.00633633479265371,0.195697432338654,0.0109053497942387,TRUE,0.879944482997918,0.000693962526023595,0.0934767522553782,0.546148507980569,0.546148507980569,0.546148507980569,0.546148507980569,0.546148507980569,0.546148507980569,0.546148507980569,0.546148507980569,1
"pilot4",1123,410,0.011432791086593,0.402439024390244,0.00356188780053428,TRUE,0.682926829268293,0.00611995104039168,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,0.990208078335373
"pilotnov",2446,975,0.00558986938381869,0.340512820512821,0.0294358135731807,TRUE,0.708717948717949,0.495384615384615,0.495384615384615,0.495384615384615,0.495384615384615,0.495384615384615,0.495384615384615,0.495384615384615,0.495384615384615,0.495384615384615,0.495384615384615,0.495384615384615
"qap12",8856,3192,0.0013550135501355,0.0075187969924812,0.670731707317073,TRUE,0.897556390977444,0.0833727344365642,0.0833727344365642,0.198108747044917,0.307486209613869,0.398581560283688,0.523404255319149,0.61639085894405,0.724507486209614,0.821907013396375,0.914263199369582,1
"recipe",204,91,0.0370071105365223,0,0.436274509803922,FALSE,1,0.0198019801980198,1,1,1,1,1,1,1,1,1,1
"sc105",163,105,0.0198656149576395,0.19047619047619,0.00613496932515337,TRUE,0.933333333333333,0.0185185185185185,1,1,1,1,1,1,1,1,1,1
"sc205",317,205,0.0102331307224744,0.185365853658537,0.00315457413249211,TRUE,0.965853658536585,0.00961538461538462,1,1,1,1,1,1,1,1,1,1
"sc50a",78,50,0.041025641025641,0.2,0.0128205128205128,TRUE,0.94,0.0377358490566038,1,1,1,1,1,1,1,1,1,1
"sc50b",78,50,0.037948717948718,0.1,0.0128205128205128,TRUE,1,0.0377358490566038,1,1,1,1,1,1,1,1,1,1
"scagr25",671,471,0.00545815258146886,0.380042462845011,0.707898658718331,TRUE,0.70276008492569,0.0272034820457018,0.11316648531012,0.297062023939064,0.459194776931447,0.549510337323177,0.630032644178455,0.68335146898803,0.76278563656148,0.842219804134929,0.895538628944505,1
"scagr7",185,129,0.0194846008799497,0.410852713178295,0.718918918918919,TRUE,0.75968992248062,0.0276679841897233,0.126482213438735,0.347826086956522,0.458498023715415,0.573122529644269,0.612648221343874,0.703557312252964,0.778656126482213,0.853754940711462,0.952569169960474,1
"scfxm1",600,330,0.0137979797979798,0.351515151515152,0.0383333333333333,TRUE,0.809090909090909,0.00303030303030303,0.0836363636363636,0.540909090909091,0.540909090909091,0.540909090909091,0.540909090909091,0.540909090909091,0.540909090909091,0.540909090909091,0.540909090909091,1
"scfxm2",1200,660,0.00690530303030303,0.359090909090909,0.0383333333333333,TRUE,0.795454545454545,0.00227445034116755,0.0811220621683093,0.540561031084155,0.540561031084155,0.540561031084155,0.540561031084155,0.540561031084155,0.540561031084155,0.540561031084155,0.540561031084155,1
"scfxm3",1800,990,0.00460493827160494,0.361616161616162,0.0383333333333333,TRUE,0.795959595959596,0.00202224469160768,0.0798786653185035,0.540444893832154,0.540444893832154,0.540444893832154,0.540444893832154,0.540444893832154,0.540444893832154,0.540444893832154,0.540444893832154,1
"scorpion",466,388,0.00848413787000575,0.195876288659794,0.605150214592275,TRUE,0.963917525773196,0.00257731958762887,0.0992268041237113,0.194845360824742,0.290979381443299,0.407216494845361,0.514175257731959,0.615463917525773,0.712628865979381,0.808247422680413,0.903350515463918,1
"scrs8",1275,490,0.00526290516206483,0.157142857142857,0.664313725490196,TRUE,0.959183673469388,0.00204081632653061,0.107959183673469,0.203673469387755,0.317755102040816,0.415510204081633,0.519387755102041,0.617142857142857,0.712857142857143,0.808571428571429,0.904285714285714,1
"scsd1",760,77,0.0408065618591934,0.012987012987013,1,TRUE,1,1,1,1,1,1,1,1,1,1,1,1
"scsd6",1350,147,0.0217485512723608,0.0612244897959184,1,TRUE,1,1,1,1,1,1,1,1,1,1,1,1
"scsd8",2750,397,0.00786260590794596,0.0377833753148615,1,TRUE,1,1,1,1,1,1,1,1,1,1,1,1
